index,thickness,intensity
0,2.6876752,173.7026
1,2.5400813,147.96893
2,2.79742,135.9278
3,2.0340395,90.819626
4,1.8678089,97.841415
5,2.7526476,167.64891
6,1.4214724,81.960175
7,2.3527238,181.22304
8,2.1159363,112.49159
9,2.1271791,132.03503
10,2.521861,155.0279
11,2.7514975,175.65771
12,3.0368764,174.27927
13,1.543148,118.5171
14,1.606385,113.447426
15,2.8734715,186.81549
16,2.4227777,157.81427
17,2.9535413,163.63808
18,1.8469234,87.13054
19,2.5506086,174.10904
20,2.378268,136.11673
21,3.378779,196.27577
22,1.7297447,87.62009
23,3.6733537,241.7764
24,2.523619,120.69104
25,3.6739976,246.5215
26,1.8138565,93.26047
27,1.5094273,78.599846
28,3.489933,236.34854
29,1.7283204,90.784225
30,2.7274451,152.63004
31,3.495184,223.62714
32,2.252035,124.35269
33,2.269466,146.42484
34,2.8402991,165.62698
35,2.1824334,133.38434
36,3.3859107,228.66885
37,2.4569268,154.46692
38,2.3482044,161.25803
39,3.6146846,231.63438
40,2.8666623,149.46985
41,3.374648,225.52704
42,2.152984,172.76685
43,2.2696786,138.86038
44,3.974973,241.01787
45,2.8567753,160.8145
46,2.274447,99.940186
47,2.9672368,206.22533
48,1.6164043,79.840645
49,2.6833615,187.93625
50,1.8554232,83.353455
51,1.7490373,87.006
52,3.09207,150.0351
53,4.208727,251.02248
54,3.3246179,218.26898
55,3.3684037,223.90947
56,3.1757493,201.2335
57,2.2345214,111.019104
58,3.2188256,226.4235
59,2.780309,171.83109
60,2.4915822,180.17339
61,2.7127347,186.12994
62,1.9456118,113.44533
63,2.0205665,113.56882
64,2.7120504,178.62405
65,1.6881483,87.81435
66,2.5125098,131.34482
67,1.9119465,129.58615
68,2.4511209,165.83347
69,3.0849097,195.08774
70,2.6100664,171.9357
71,2.1695,161.51071
72,2.3458686,167.15225
73,2.2973943,138.73279
74,1.3825132,81.784805
75,1.6525595,98.00911
76,2.6711197,188.86578
77,2.0841887,110.289665
78,4.976142,252.71507
79,2.0921092,141.83197
80,3.3281991,219.03723
81,4.7736406,253.78218
82,2.363919,152.91711
83,2.0263298,120.72516
84,1.7101492,111.120865
85,3.1613007,220.1829
86,3.3601143,224.72401
87,2.1634865,124.21452
88,3.004931,204.40636
89,2.5793242,182.69232
90,1.7929115,76.92338
91,3.5439076,222.4001
92,2.0751388,106.537094
93,3.4755323,237.50209
94,3.5135038,236.75256
95,2.793901,192.9213
96,2.2423987,145.87988
97,2.4162443,158.06152
98,3.194407,199.85303
99,2.6348794,182.7337
100,2.2375083,130.13235
101,2.2704036,153.66635
102,3.1511817,239.48979
103,2.1124508,146.24692
104,2.691075,161.49103
105,2.00005,122.63394
106,2.6440873,225.34106
107,1.8218892,108.61242
108,2.723004,173.77509
109,3.4988484,234.93507
110,2.0026522,121.52899
111,1.8019774,112.71219
112,2.1578565,158.2045
113,2.2208264,160.84521
114,2.989311,212.91493
115,2.164233,162.28088
116,2.9537253,210.12503
117,2.0156286,140.44908
118,2.2841237,113.44316
119,3.9775357,241.09315
120,2.1248145,137.20132
121,2.549173,209.82552
122,2.4438493,158.54315
123,2.8506444,187.51355
124,1.5158559,79.87427
125,3.04541,191.29498
126,1.684738,99.58142
127,2.8451755,202.53497
128,1.7803575,79.85091
129,2.9318006,191.49124
130,1.8954948,111.49902
131,2.983049,205.53433
132,3.0583382,224.94006
133,2.072853,129.76144
134,3.106017,234.10014
135,3.5770895,240.75252
136,1.8312263,110.280914
137,3.8409812,246.20416
138,2.3648412,150.18866
139,3.2971306,239.81462
140,2.589391,213.01442
141,2.2614334,130.81534
142,3.2442904,241.07503
143,1.9735122,119.91601
144,2.37413,179.34955
145,1.9481051,103.047424
146,1.3645586,73.16545
147,3.1426091,215.0621
148,2.6430678,158.35938
149,1.2801545,75.17617
150,2.8566954,203.01677
151,1.4905543,76.56946
152,2.3887894,116.87394
153,2.6109023,201.822
154,1.1914836,71.16105
155,1.7847483,105.87372
156,2.5326102,141.42493
157,2.1350405,143.42004
158,1.9673222,101.68236
159,2.5053318,177.65541
160,2.6193187,144.98528
161,1.8288126,100.15993
162,1.2675135,83.065155
163,1.8515761,89.292816
164,2.3634293,122.781525
165,2.052168,100.02909
166,3.1306643,202.73573
167,1.7639942,78.46633
168,1.9251229,101.38275
169,2.1710932,111.86231
170,3.208176,207.25526
171,2.0019302,119.23593
172,2.459127,151.93744
173,2.559098,169.18643
174,1.9430544,112.87782
175,2.316906,144.43433
176,2.4515119,137.219
177,2.0971222,102.41082
178,2.3429933,164.89716
179,2.4535632,170.3916
180,2.1202497,129.14032
181,1.6191065,88.82117
182,3.6089103,233.12666
183,3.2768385,212.6976
184,2.478439,141.21617
185,1.9984938,150.96176
186,4.0527205,249.28699
187,2.4044206,151.48303
188,2.6926796,203.04727
189,3.7575574,249.59604
190,1.4727509,108.99707
191,2.1306891,88.95012
192,1.8650558,114.52745
193,2.0505648,136.35736
194,1.9216646,122.06154
195,3.0989025,180.83737
196,2.7627773,179.18167
197,2.7394283,181.89078
198,3.0186582,226.88342
199,2.2792857,116.75821
200,3.556952,234.57692
201,3.44624,239.12517
202,2.7785044,162.04546
203,1.9074023,119.006836
204,2.8324406,155.65358
205,2.1470733,142.5886
206,1.6962249,84.77594
207,2.016894,178.163
208,2.1632617,107.87351
209,2.2485106,125.65615
210,2.7195241,147.1694
211,2.6944127,180.56744
212,2.452737,143.61334
213,1.592772,83.986374
214,2.2038522,178.2786
215,1.9029323,115.30557
216,2.4723434,126.83435
217,2.978516,224.79343
218,2.10272,129.5232
219,2.6144605,172.0538
220,2.4849963,129.1283
221,1.974526,104.674164
222,1.7741574,99.98843
223,2.9745328,187.00412
224,1.4925002,79.2341
225,2.8690705,197.16422
226,2.6765027,181.63712
